{-13.301049807543315,	0.4012850269101236},
{0.30067096831642104,	-0.24745827327181402},
{10.879026812412846,	3.405788830226122},
{-8.394175580531435,	14.556705454156742},
{-17.038326006685207,	2.89671278058702},
{4.249145056566373,	-5.907212522103968},
{10.775336628872612,	20.28533431856443},
{6.747256316013004,	14.815389202516624},
{-5.9641228628873115,	-0.9869274600513123},
{9.043281105341272,	-3.6783489675367207},
{-11.745292576671389,	14.744381402963544},
{-0.32534025968764624,	14.322380558278358},
{11.952852226324627,	20.89542767409825},
{-0.862252566807868,	15.803286515222553},
{9.560601672885866,	5.761420127422227},
{-7.221709753275363,	-6.349208639611721},
{-11.302901701185089,	-3.9413024627006052},
{-17.280663567065723,	15.539162052454675},
{3.2237384630062955,	8.1483015151863},
{0.32989967890441463,	12.697556406988028},
{-9.210394969333809,	13.082577139877777},
{0.020992602479427802,	16.478468316133753},
{4.007099834903276,	10.792196261973146},
{-21.63577965359894,	18.02444212722934},
{1.0118733009298886,	19.136339186627612},
{0.42723825287023587,	11.457141022140995},
{5.546756917935458,	-0.5581554393720367},
{3.915357286501685,	12.171571635106886},
{-0.5798223468700421,	16.439063654477753},
{-11.76777417009874,	-3.8862227412520767},
{-3.485743009071328,	-3.540287913500027},
{4.942587113486223,	16.67925264607338},
{-4.543106319798291,	8.691604599190448},
{-22.163890572411276,	16.223608400364704},
{-1.2745843445739915,	17.996284078576895},
{2.109642740181542,	18.517533206601204},
{-3.2269652743498938,	0.10502324495196547},
{-3.08397389469733,	23.388943205864997},
{-2.294208990743847,	24.212027467959167},
{1.6124086955842962,	23.567908479861654},
{-3.409063555478536,	10.062898045348781},
{-6.065804743740113,	2.4876839100328283},
{-19.05293495308674,	13.762714255831117},
{6.938211726663027,	2.2801670830057468},
{-8.382944669779665,	3.580895427970013},
{-9.41189140609335,	19.727899893036874},
{3.9340499759487386,	27.070324388052914},
{-5.386770053856647,	25.356585776679278},
{-11.286979216858327,	17.003768632967418},
{8.750105871888053,	25.39928197339961},
{-16.154876558600236,	5.787108612338617},
{-15.946706154309314,	10.928057286564812},
{8.725873631954151,	20.56259931382876},
{7.667365878230402,	5.6280960857990046},
{5.798063353169862,	7.643396500021542},
{0.8916021244627466,	17.37432875681337},
{-11.80199315687532,	11.091532579768785},
{-8.956073922234506,	20.294679855858536},
{-4.790965018869283,	7.471555978199223},
{6.411213622581592,	20.58049169922208},
{6.978174288604805,	15.384051730488594},
{-19.99270407808334,	7.560242490715659},
{10.364092837161028,	19.095033466587427},
{-2.1122841668411887,	11.395696213224173},
{9.191884135120397,	1.6749436759999625},
{-17.198735385101536,	8.070856585243021},
{0.5862215368081927,	21.025453487563972},
{-6.464590987577669,	16.241373118931726},
{8.28941309151266,	-6.440929174253789},
{-0.7370884321130085,	-2.7823525864300898},
{9.824970281825035,	13.63524675313488},
{0.8619181091528674,	22.95356368993549},
{5.270043975869417,	5.465638859881377},
{-15.9679828987665,	6.971155737222023},
{4.441002886409823,	-6.5299215298133895},
{0.8427939569822698,	-5.9683890592667055},
{-1.649773889135954,	1.7582898145467247},
{11.161011400694374,	9.398012199186017},
{10.552043304542455,	3.9518396950957992},
{6.493407315467035,	16.985272709682512},
{7.734383313730298,	18.107799689071594},
{-12.276877626328186,	8.339461075879328},
{8.823017181651107,	13.411435756321982},
{2.5970438373289753,	-8.523432319645853},
{8.851353423883175,	10.91086311802334},
{-4.023265702320295,	14.173856915610408},
{-5.32632773311504,	14.108165767098793},
{-16.727884765932668,	10.777201156536687},
{7.21111516145611,	0.976290921445063},
{-11.936221616983392,	0.2724135489632502},
{-4.5427805369651,	-6.932653618494044},
{-5.196356134464757,	-5.566852413174711},
{-0.257275303756451,	0.5986548542228363},
{7.918428876944855,	-4.394539918909228},
{-8.239235163163244,	13.057121635543783},
{-5.286457398603943,	0.3700970494554632},
{-13.872939371123334,	8.557933574605428},
{6.273614148405887,	-1.7434834107610158},
{-13.352335793454749,	5.72691261915088},
{-1.2518600384213379,	18.089443646415717},
{-0.32053884855021053,	9.182382629881637},
{-14.342840094752546,	6.373249166875286},
{-8.207638576810453,	-4.677623713184079},
{7.950998505672569,	-3.6362447894390364},
{2.956024883121245,	-2.542087709787687},
{9.044273198259905,	7.869886613674513},
{10.252080012783107,	12.690744184132491},
{-3.121198282598314,	16.13090441536197},
{-12.042826236731337,	17.371535485949533},
